ID,RA,Dec,k36mag,e36mag,d36mag,k45mag,e45mag,d45mag,k58mag,e58mag,d58mag,k80mag,e80mag,d80mag,k24mag,e24mag,dstArcSec,RAJ2000,DEJ2000,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,c1a,c1b,c1c,c2a,c2b,c2c,c3a,c3b,c3c,c4a,c4b,c4c,c5a,c5b,c5c,c6a,c6b,c6c,c7,c8,c9a,c9b,c9c,c11b,c11c,c1,c2,c3,c4,c5,c6,c9,c10,c11,24 data?,36 data?,45 data?,58 data?,80 data?,SpNum,H data?,J data?,K data?,HJKNum,c2 met?,c3 met?,c4 met?,c5 met?,c6 met?,c9 met?,c11 met?,sp rel?,HJK rel?,YSO Score,24 without 58/80,New name
21006,296.20281,-14.82849,18.3,0.18,2.38,18.15,0.17,2.62,14.83,0.04,-9999,14.45,0.06,-9999,11.92,0.28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,4,0,0,0,0,1,1,1,0,0,1,1,1,0,4,0,183
6288,296.20314,-14.87639,16.57,0.07,0.31,16.72,0.07,0.36,14.78,0.11,0.81,13.18,0.1,0.97,6.68,0.01,0.278186795300231,296.203064,-14.876414,18.341,0.07,17.358,0.045,17.257,0.052,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,5,1,1,1,3,1,1,1,1,1,1,1,1,1,6,0,184
25693,296.20389,-14.88385,18.39,0.11,-9999,18.54,0.12,0.1,16.97,0.2,-9999,13.99,0.09,-0.39,8.43,0.04,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,4,0,0,0,0,0,0,1,1,1,1,0,1,0,4,0,185
27631,296.20394,-14.87732,18.74,0.1,-9999,18.74,0.18,-9999,16.07,0.12,0.42,14.93,0.12,0.88,7.91,0.02,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,5,0,0,0,0,1,1,1,1,1,1,1,1,0,6,0,186
2724,296.20404,-14.87566,16.01,0.08,0.3,15.77,0.09,0.3,13.45,0.09,0.18,12.57,0.06,1.06,6.65,0.01,0.152806502799523,296.20401,-14.875691,18.821,0.105,18.554,0.127,17.919,0.092,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,3,1,1,1,1,1,1,0,1,1,1,1,1,1,5,1,1,1,3,1,1,1,1,1,1,1,1,1,6,0,187
2008,296.20456,-14.71633,15.91,0.04,0.04,15.44,0.06,-0.02,13.48,0.05,-0.04,11.67,0.04,0.04,8.93,0.03,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,5,0,0,0,0,1,1,1,1,1,1,1,1,0,6,0,188
19623,296.20462,-14.88183,17.89,0.11,0.3,18.05,0.19,0.58,15.67,0.13,0.18,13.85,0.12,0.32,7.7,0.03,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,5,0,0,0,0,1,1,1,1,1,1,1,1,0,6,0,189
18790,296.20525,-14.80071,18.07,0.08,0.4,17.99,0.06,0.63,13.45,0.05,-2.62,11.65,0.06,-2.45,10.05,0.05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,5,0,0,0,0,1,1,1,1,0,1,1,1,0,5,0,190
5449,296.20544,-14.88288,16.99,0.09,0.94,16.54,0.13,0.89,14.41,0.1,0.91,12.9,0.08,1.01,6.56,0.02,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,5,0,0,0,0,1,1,1,1,1,1,1,1,0,6,0,191
1906,296.20618,-14.88301,15.66,0.07,0.17,15.39,0.09,0.28,13.26,0.06,0.15,11.83,0.05,0.32,6.49,0.04,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,5,0,0,0,0,1,1,1,1,1,1,1,1,0,6,0,192
